Case #1: 15 60 75
Case #2: 9 9 12 15
Case #3: 195 336 1596 2265
Case #4: 474 1476 1623 1926
Case #5: 1680 2061 2121 2700
Case #6: 299058798 380808003 417960849 588911409
Case #7: 51 429 1254 2754
Case #8: 93 405 906 1719
Case #9: 1314 2187 2280 2322
Case #10: 168012261 366650859 517733247 598892367
Case #11: 822 1272 2280 2505
Case #12: 369 840 1830 1872
Case #13: 288 510 1383 2364
Case #14: 39 2235 2619 2820
Case #15: 186 273 831 1815
Case #16: 23703159 405899790 608595567 666060738
Case #17: 537 1260 1989 2985
Case #18: 693 1389 2382 2919
Case #19: 177 207 1878 2199
Case #20: 12663 16884 18603 22512
Case #21: 86070081 205461186 209555373 216073014
Case #22: 1257 2385 2388 2802
Case #23: 6669 7020 11856 12480
Case #24: 407786829 443550393 444307272 712941945
Case #25: 115625700 306583398 419722158 638900052
Case #26: 1017 2106 2523 2643
Case #27: 3 750000000
Case #28: 15930 21240 26406 28320
Case #29: 747 1083 2205 2841
Case #30: 633 1047 2622 2727
Case #31: 133915224 471914064 570775083 571486689
Case #32: 666 966 1227 2274
Case #33: 3
Case #34: 147 2181 2364 2781
Case #35: 366 1491 2394 2403
Case #36: 6858 13338 17784 23712
Case #37: 8722215 89118189 576655683 642750225
Case #38: 600 1128 1521 1965
Case #39: 138 321 2259 2442
Case #40: 16632 18522 24696 32928
Case #41: 255 753 1077 1506
Case #42: 1149 2019 2613 2667
Case #43: 576 663 1452 2535
Case #44: 24219 25353 33804 45072
Case #45: 165501018 341579256 444313515 444646824
Case #46: 1296 1428 1506 2505
Case #47: 750000000
Case #48: 72192708 132625602 305722827 459484167
Case #49: 954 1950 2562 2898
Case #50: 306997539 480086352 492216060 667739763
Case #51: 210 318 600 2925
Case #52: 90 210 1530 2982
Case #53: 10989 19536 22923 40752
Case #54: 273 2565 2913 2949
Case #55: 324 1149 2160 2169
Case #56: 317409807 608579448 637169241 649002828
Case #57: 96 792 1602 2577
Case #58: 405 720 18603 33072
Case #59: 381 972 1293 1965
Case #60: 11097 14796 19728 25326
Case #61: 210 312 1854 2511
Case #62: 1179 1455 2271 2673
Case #63: 591 594 1659 2223
Case #64: 5427 9648 15255 27120
Case #65: 210 1233 1299 2160
Case #66: 255 954 2013 2724
Case #67: 375 642 795 1746
Case #68: 11205 26244 34992 46656
Case #69: 663 1728 1767 2553
Case #70: 1809 3216 11367 20208
Case #71: 1125 1239 1440 2967
Case #72: 384 726 951 2328
Case #73: 125146215 325235022 467638815 628827369
Case #74: 1371 2097 2334 2934
Case #75: 390031059 454307409 541372428 714498078
Case #76: 5238 9312 24597 43728
Case #77: 18036 21870 32064 38880
Case #78: 20142 24516 26856 35808
Case #79: 18 1443 1986 1992
Case #80: 1215 2160 13014 23136
Case #81: 16960575 82763184 158181828 572767929
Case #82: 9 54 174 1392
Case #83: 411 1050 1491 2565
Case #84: 240 570 1932 2454
Case #85: 24 189 1587 1671
Case #86: 168 861 1116 2136
Case #87: 7371 9234 13104 16416
Case #88: 9963 14067 18756 25008
Case #89: 495 1665 2010 2163
Case #90: 9018 16032 20304 36096
Case #91: 135512487 187643901 252976092 258656799
Case #92: 49933350 355445427 481767114 510194979
Case #93: 1866 2019 2070 2373
Case #94: 169384476 186978360 323819175 585274221
Case #95: 94949220 371198733 464948649 707198592
Case #96: 747 801 813 2118
Case #97: 7128 9504 9639 12672
Case #98: 446918844 616193682 648086259 671487438
Case #99: 219 444 1425 2076
Case #100: 1161 1209 2226 2457
